Reviews,food,Safety and Hygiene,location,value for money,hospitality
The Management and Staff were extremely friendly. efficient and proactive. The room was fabulous and we also loved the food. Our stay exceeded our expectations.,2,2,1,1,2
The hotel is located at very convenient place .,1,1,2,1,1
Liked the hospitality and cheerfulness of the staff.,1,1,1,1,2
Very well trained and friendly staff. Sparkling clean hotel. Excellent food and room service is quick.,2,2,1,1,2
Very nice Hotel. Cooperative staff. Perfect ambience.,1,2,1,1,2
"Ambience, Staff, Food, Hospitality everything was perfect!",2,1,2,1,2
"Very efficient staff. Room service was prompt with good quality food. Bed was comfortable. Overall, a positive experience.",2,2,2,2,2
Easy check-in and checkout. Value for money. Friendly staff. Proximity to places of interest.,0,1,2,2,2
Room cleanliness and staff behaviour was very good. Food was delicious. Amazing location,2,2,2,2,2
Beautiful big clean hotel. Very friendly and accommodating staff.,1,2,1,1,2
It's my first visit to this hotel. The hotel was good and timely service. Good food quality but It's quantity needs improvement as per the cost.,2,2,1,1,2
"The stay was good. The hotel ambience is very good altogether. Room service is also fine. The food was very good and delcious, rooms were clean, and everything was well organized . The hotel staff is very polite and friendly. ",2,2,2,2,2
"The rooms were clean, very comfortable. They went over and beyond to help make our stay enjoyable. I would highly recommend staying at this hotel .",1,2,1,2,2
"I loved the care and facilities given by the Hotel staff, with every one wearing a mask and gloves and sanitizer available at each door steps and each floor. Also room was sanitize before check In and perfectly cleaned. I feel very safe during my stay.",1,2,1,1,2
"I had a wonderful experience. Every staff member I encountered, from the valet to the check- in to the cleaning staff were delightful and eager to help! ",2,2,1,2,2
"The best hotel I have ever been privileged enough to stay at. Gorgeous building, and it only gets more breathtaking when you walk in. High quality rooms (there was even a tv by the shower), and high quality service. Also, they are one of few hotels that allow people under 21 to book a reservation.",2,2,2,2,2
"Overall, I had a great experience with the hotel. The staff was incredibly helpful, and the amenities were great. The room was wonderful, clean, and perfect.",1,2,2,2,2
The staff was the nicest staff I have ever encountered at a hotel. They were always friendly and asked how our stay was going every time we walked in the door. The atmosphere and service were great. ,2,2,2,1,2
"The hotel exceeded my expectations. The rooms were spotless, the staff was amazing and they had the most comfortable bed.",2,2,2,2,2
"We are lucky to have chosen four points by sheraton hotel for our 6 days stay in jaipur. Convenient location, very spacious rooms and apartments well equipped with all modern facilities. Very professional and hard-working manager of the hotel who does his best to satisfy the needs of the guests. Sheraton hotel meets the highest standards of the best hotels in jaipur city. The rooms are air-conditioned and you can regulate the temperature, when it is warm outside you can maintain a very pleasant cold temperature in the room. Beds are comfortable. The hotel offers breakfast (very tasty and varied, and also gluten-free on request) service of a porter, cleaning every day, elevator/lift, and a special taxi service at a reduced price. The staff is very friendly and nice, and speak good english. It's food quality is awesome. It is a perfect place to stay for everyone.",2,2,2,2,2
"It’s a nice property, more of a 4 star than a 5 star. Staffs are courteous and polite. They allowed us late check out at 3 pm. We received complimentary high tea from the gm of the hotel. There is a big bazaar in the same building. Just opposite to the resort there is a vegetarian restaurant with a good variety of food. The hotel is very busy mainly because of the proximity to the airport. While checking out we saw the thorough cleaning being carried out at the public areas of the hotel which was quite reassuring especially during this pandemic time.",2,2,2,2,2
